location_name,watershed_name,rainfall(mm),Lat_DD,Lon_DD,date,year,UTM_Easting,UTM_Northing,UTM_Zone
Banyu Meneng,DAS Dolog,1,-7.090561111,110.4998361,2/27/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,0,-7.090561111,110.4998361,2/28/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,6,-7.090561111,110.4998361,3/1/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,7,-7.090561111,110.4998361,3/2/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,3,-7.090561111,110.4998361,3/3/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,47,-7.090561111,110.4998361,3/4/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,22,-7.090561111,110.4998361,3/8/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,24,-7.090561111,110.4998361,3/9/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,5,-7.090561111,110.4998361,3/10/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,4,-7.090561111,110.4998361,3/11/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,27.5,-7.090561111,110.4998361,3/13/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,0,-7.090561111,110.4998361,3/14/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,1,-7.090561111,110.4998361,3/15/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,48,-7.090561111,110.4998361,3/16/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,13,-7.090561111,110.4998361,3/18/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,0,-7.090561111,110.4998361,3/19/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,12,-7.090561111,110.4998361,3/21/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,0,-7.090561111,110.4998361,3/22/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,35,-7.090561111,110.4998361,3/23/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,0,-7.090561111,110.4998361,3/24/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,6,-7.090561111,110.4998361,3/25/21,2021,444766.419,9216210.139,49S
Banyu Meneng,DAS Dolog,2,-7.090561111,110.4998361,3/27/21,2021,444766.419,9216210.139,49S
