location_name,watershed_name,rainfall(mm),Lat_DD,Lon_DD,date,year,UTM_Easting,UTM_Northing,UTM_Zone
Bandungan,DAS Tuntang,16.4,-7.228841666666667,110.349875,2021-01-01,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.0,-7.228841666666667,110.349875,2021-01-04,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,6.3,-7.228841666666667,110.349875,2021-01-05,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,6.5,-7.228841666666667,110.349875,2021-01-06,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,0.0,-7.228841666666667,110.349875,2021-01-07,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,24.5,-7.228841666666667,110.349875,2021-01-08,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,5.6,-7.228841666666667,110.349875,2021-01-09,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,27.4,-7.228841666666667,110.349875,2021-01-10,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,4.9,-7.228841666666667,110.349875,2021-01-11,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,8.2,-7.228841666666667,110.349875,2021-01-12,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.8,-7.228841666666667,110.349875,2021-01-13,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.2,-7.228841666666667,110.349875,2021-01-16,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,31.9,-7.228841666666667,110.349875,2021-01-17,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,30.8,-7.228841666666667,110.349875,2021-01-18,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,0.0,-7.228841666666667,110.349875,2021-01-19,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.2,-7.228841666666667,110.349875,2021-01-20,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.2,-7.228841666666667,110.349875,2021-01-21,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,16.4,-7.228841666666667,110.349875,2021-01-22,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,0.0,-7.228841666666667,110.349875,2021-01-23,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,10.5,-7.228841666666667,110.349875,2021-01-24,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,34.5,-7.228841666666667,110.349875,2021-01-25,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,81.2,-7.228841666666667,110.349875,2021-01-26,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,13.8,-7.228841666666667,110.349875,2021-01-27,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,60.5,-7.228841666666667,110.349875,2021-01-28,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,14.4,-7.228841666666667,110.349875,2021-01-29,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,21.0,-7.228841666666667,110.349875,2021-01-30,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.7,-7.228841666666667,110.349875,2021-01-31,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,23.0,-7.228841666666667,110.349875,2021-02-01,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.0,-7.228841666666667,110.349875,2021-02-02,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,7.8,-7.228841666666667,110.349875,2021-02-03,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,21.6,-7.228841666666667,110.349875,2021-02-04,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,6.5,-7.228841666666667,110.349875,2021-02-05,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,16.7,-7.228841666666667,110.349875,2021-02-06,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,64.4,-7.228841666666667,110.349875,2021-02-07,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,7.7,-7.228841666666667,110.349875,2021-02-08,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,0.0,-7.228841666666667,110.349875,2021-02-09,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,36.5,-7.228841666666667,110.349875,2021-02-10,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,55.3,-7.228841666666667,110.349875,2021-02-11,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,63.4,-7.228841666666667,110.349875,2021-02-12,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,13.3,-7.228841666666667,110.349875,2021-02-13,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,27.6,-7.228841666666667,110.349875,2021-02-14,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,3.5,-7.228841666666667,110.349875,2021-02-15,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,0.0,-7.228841666666667,110.349875,2021-02-16,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,60.2,-7.228841666666667,110.349875,2021-02-17,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,7.5,-7.228841666666667,110.349875,2021-02-18,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,3.3,-7.228841666666667,110.349875,2021-02-19,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,0.0,-7.228841666666667,110.349875,2021-02-20,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,4.0,-7.228841666666667,110.349875,2021-02-21,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,1.5,-7.228841666666667,110.349875,2021-02-22,2021,428227.0758595702,9200902.11708098,49S
Bandungan,DAS Tuntang,5.8,-7.228841666666667,110.349875,2021-02-23,2021,428227.0758595702,9200902.11708098,49S
